"FoodID","FoodClassID","ManufacturerID","ReferenceID","Common","CupGramWeightValue","Discontinued","FoodName","Generic","Recipe","RefusePercentage"
1,568,,1,1,135.00,0,"Cheese, Blue",1,0,0.00
2,568,,1,0,246.00,0,"Cheese, Camembert",1,0,0.00
3,568,,1,0,132.00,0,"Cheese, Cheddar, Pieces",1,0,0.00
4,568,,1,1,132.00,0,"Cheese, Cheddar, Diced",1,0,0.00
5,568,,1,1,0.00,0,"Cheese, Cheddar, Shredded",1,0,0.00
7,568,,1,0,0.00,0,"Cottage Cheese, Creamed, 4% Fat",1,0,0.00
8,568,,1,1,0.00,0,"Cottage Cheese, Low Fat 2%",1,0,0.00
9,568,,1,1,0.00,0,"Cottage Cheese, Low Fat 1%",1,0,0.00
10,568,,1,0,0.00,0,"Cottage Cheese, Uncreamed, Fat Free, Dry",1,0,0.00
11,568,,1,1,0.00,0,"Cream Cheese",1,0,0.00
12,568,,1,0,112.00,0,"Cheese, Mozzarella, Whole Milk",1,0,0.00
13,568,,1,1,112.00,0,"Cheese, Mozzarella, Part Skim Milk",1,0,0.00
14,568,,1,1,0.00,0,"Cheese, Parmesan, Grated",1,0,0.00
16,568,,1,0,0.00,0,"Cottage Cheese, Creamed, with Fruit",1,0,0.00
17,568,,1,1,132.00,0,"Cheese, Provolone",1,0,0.00
18,568,,1,1,0.00,0,"Cheese, Ricotta, Whole Milk",1,0,0.00
19,568,,1,1,0.00,0,"Cheese, Ricotta, Part Skim Milk",1,0,0.00
20,568,,1,0,0.00,0,"Cheese, Romano",1,0,0.00
21,568,,1,1,132.00,0,"Cheese, Swiss",1,0,0.00
22,569,,1,1,140.00,0,"Cheese, American, Processed",1,0,0.00
23,569,,1,0,140.00,0,"Cheese, Swiss, Processed with Di Sodium Phosphate",1,0,0.00
24,569,,1,1,113.00,0,"Cheese, American, Processed, without Di Sodium Phosphate",1,0,0.00
25,569,,1,1,244.00,0,"Cheese, American, Spread, Processed",1,0,0.00
26,147,,1,1,0.00,0,"Cream, Half and Half",1,0,0.00
27,430,,2,1,0.00,0,"Sauce, Tomato Chili",1,0,0.00
28,147,,1,1,0.00,0,"Cream, Coffee or Table, Liquid, Light",1,0,0.00
29,430,113,13,0,0.00,0,"HEINZ 57 Traditional Steak Sauce",0,0,0.00
30,147,,1,0,0.00,0,"Cream, Whipping, Light, Liquid",1,0,0.00
31,430,113,13,0,0.00,0,"HEINZ Hot Dog Pickle Relish",0,0,0.00
32,147,,1,1,0.00,0,"Cream, Whipping, Heavy, Liquid",1,0,0.00
33,430,113,13,0,0.00,0,"HEINZ Sweet Pickle Relish",0,0,0.00
34,11,,1,1,0.00,0,"Whipped Cream Topping, Pressurized",1,0,0.00
35,430,113,13,0,0.00,0,"HEINZ Tomato Ketchup, Lite Harvest",0,0,0.00
36,147,,1,1,0.00,0,"Sour Cream",1,0,0.00
38,578,,1,1,0.00,0,"Cream Substitute, with Hydrogenated Vegetable Oil and Soy Protein, Liquid",1,0,0.00
39,645,68,13,0,0.00,0,"DEL MONTE Sweet Peas, Canned",0,0,0.00
40,578,,1,1,0.00,0,"Cream Substitute, Powder",1,0,0.00
41,164,68,13,0,0.00,0,"DEL MONTE Cut Green Beans, Canned, without Salt Added",0,0,0.00
42,11,,1,1,0.00,0,"Dessert Topping, Semi Solid, Frozen",1,0,0.00
44,11,,1,1,0.00,0,"Dessert Topping, Powder",1,0,0.00
46,11,,1,0,0.00,0,"Dessert Topping, Pressurized",1,0,0.00
50,570,,1,1,0.00,0,"Milk, Whole 3.3%",1,0,0.00
51,570,,1,1,0.00,0,"Milk, Reduced Fat 2%",1,0,0.00
52,570,,1,0,0.00,0,"Milk, Reduced Fat 2%, with Non Fat Milk Solids",1,0,0.00
53,570,,1,0,0.00,0,"Milk, Reduced Fat 2%, with Added Protein",1,0,0.00
54,570,,1,1,0.00,0,"Milk, Low Fat, 1%",1,0,0.00
55,570,,1,0,0.00,0,"Milk, Low Fat, 1%, with Non Fat Milk Solids",1,0,0.00
56,570,,1,0,0.00,0,"Milk, Low Fat, 1%, with Added Protein",1,0,0.00
57,570,,1,1,0.00,0,"Milk, Non Fat Skim or Fat Free",1,0,0.00
58,570,,1,0,0.00,0,"Milk, Non Fat Skim or Fat Free, with Non Fat Milk Solids",1,0,0.00
59,570,,1,0,0.00,0,"Milk, Non Fat Skim or Fat Free, with Added Protein",1,0,0.00
60,570,,1,0,0.00,0,"Milk, Buttermilk, Low Fat",1,0,0.00
