"FoodID","PyramidCategoryOrder","PyramidCategoryID","HighFat","HighSugar","PyramidValue"
1,1,10,0,0,0.66
1,2,75,,,0.66
1,3,77,,,46.00
2,1,10,1,0,0.66
2,2,75,,,0.66
2,3,77,,,31.00
3,1,10,1,0,0.66
3,2,75,,,0.66
3,3,77,,,60.00
4,1,10,1,0,0.66
4,2,75,,,0.66
4,3,77,,,60.00
5,1,10,1,0,0.66
5,2,75,,,0.66
5,3,77,,,60.00
7,1,10,0,0,0.25
7,2,77,,,35.00
7,3,75,,,0.25
8,1,10,0,0,0.25
8,2,77,,,15.00
8,3,75,,,0.25
9,1,10,0,0,0.25
9,2,77,,,0.00
9,3,75,,,0.25
11,1,11,0,0,2.36
11,2,77,,,99.00
12,1,10,1,0,0.66
12,2,75,,,0.66
12,3,77,,,31.00
13,1,10,0,0,0.66
13,2,75,,,0.66
13,3,77,,,18.00
14,1,10,0,0,0.11
14,2,75,,,0.11
14,3,77,,,12.00
16,1,10,1,0,0.25
16,2,15,0,0,0.25
16,3,77,,,35.00
16,4,73,,,0.12
16,5,75,,,0.25
17,1,10,1,0,0.66
17,2,75,,,0.66
17,3,77,,,46.00
18,1,10,1,0,0.50
18,2,75,,,0.50
18,3,77,,,67.00
19,1,10,0,0,0.50
19,2,75,,,0.50
19,3,77,,,44.00
20,1,10,0,0,0.11
20,2,75,,,0.11
21,1,10,1,0,0.66
21,2,75,,,0.66
21,3,77,,,54.00
22,1,10,1,0,0.50
22,2,75,,,0.50
22,3,77,,,66.00
23,1,10,1,0,0.50
23,2,75,,,0.50
23,3,77,,,54.00
24,1,10,1,0,0.50
24,2,75,,,0.50
24,3,77,,,53.00
25,1,10,1,0,0.50
25,2,75,,,0.50
25,3,77,,,42.00
26,1,11,0,0,0.82
26,2,77,,,39.00
27,1,13,0,0,0.25
27,2,71,,,0.12
27,3,77,,,26.00
28,1,11,0,0,0.69
28,2,77,,,29.00
29,1,13,0,0,0.13
29,2,71,,,0.06
30,1,11,0,0,1.10
30,2,77,,,43.00
31,1,13,0,0,0.13
31,2,71,,,0.06
31,3,77,,,12.00
32,1,11,0,0,1.32
32,2,77,,,51.00
33,1,13,0,0,0.13
33,2,71,,,0.06
33,3,77,,,12.00
34,1,12,0,0,0.09
35,1,13,0,0,0.15
35,2,71,,,0.07
36,1,11,0,0,1.12
36,2,77,,,46.00
38,1,11,0,0,0.35
38,2,77,,,20.00
39,1,4,0,0,1.00
39,2,71,,,0.50
41,1,13,0,0,1.42
41,2,71,,,0.71
42,1,12,0,0,0.23
42,2,77,,,12.00
46,1,12,0,0,0.32
46,2,77,,,21.00
50,1,10,1,0,1.00
50,2,75,,,1.00
50,3,77,,,68.00
51,1,10,0,0,1.00
51,2,75,,,1.00
51,3,77,,,42.00
52,1,10,0,0,1.00
52,2,75,,,1.00
52,3,77,,,44.00
53,1,10,0,0,1.00
53,2,77,,,42.00
53,3,75,,,1.00
54,1,10,0,0,1.00
54,2,75,,,1.00
54,3,77,,,22.00
55,1,10,0,0,1.00
55,2,75,,,1.00
55,3,77,,,25.00
56,1,10,0,0,1.00
56,2,75,,,1.00
56,3,77,,,38.00
