"NutrientGoalTemplateID","NutrientID","NutrientValue"
2,1,2500.00
2,2,125.00
2,3,312.50
2,4,83.33
2,6,300.00
2,7,27.78
2,8,27.78
2,9,27.78
2,26,4.17
2,34,1500.00
2,35,4500.00
2,37,1000.00
2,45,45.00
2,46,1300.00
2,47,8.00
2,48,5.00
2,50,11.00
2,53,0.90
2,54,0.90
2,55,12.00
2,57,1.00
2,59,1.80
2,60,20.00
2,61,4.00
2,62,60.00
2,63,1250.00
2,64,120.00
2,65,240.00
2,66,8.00
2,67,0.70
2,68,1.90
2,69,40.00
2,70,2000.00
2,71,0.02
2,72,34.00
2,74,28.00
2,85,1125.00
2,86,3500.00
2,87,3500.00
2,88,5500.00
2,89,5500.00
2,90,1375.00
2,91,1375.00
2,92,1375.00
2,93,1375.00
2,94,3125.00
2,96,2375.00
2,105,2400.00
2,113,300.00
2,114,600.00
3,1,3000.00
3,2,150.00
3,3,375.00
3,4,100.00
3,6,300.00
3,7,33.33
3,8,33.33
3,9,33.33
3,26,5.00
3,34,1500.00
3,35,4700.00
3,37,1000.00
3,45,75.00
3,46,1300.00
3,47,11.00
3,48,5.00
3,50,15.00
3,53,1.20
3,54,1.30
3,55,16.00
3,57,1.30
3,59,2.40
3,60,25.00
3,61,5.00
3,62,75.00
3,63,1250.00
3,64,150.00
3,65,410.00
3,66,11.00
3,67,0.89
3,68,2.20
3,69,55.00
3,70,3200.00
3,71,0.03
3,72,43.00
3,74,33.00
3,85,750.00
3,86,1350.00
3,87,1950.00
3,88,2850.00
3,89,2400.00
3,90,1275.00
3,91,1275.00
3,92,1425.00
3,93,1425.00
3,94,1950.00
3,96,1650.00
3,105,3300.00
3,113,400.00
3,114,900.00
4,1,2900.00
4,2,145.00
4,3,362.50
4,4,96.67
4,6,300.00
4,7,32.22
4,8,32.22
4,9,32.22
4,26,4.83
4,34,1500.00
4,35,4700.00
4,37,1000.00
4,45,90.00
4,46,1000.00
4,47,8.00
4,48,5.00
4,50,15.00
4,53,1.20
4,54,1.30
4,55,16.00
4,57,1.30
4,59,2.40
4,60,30.00
4,61,5.00
4,62,120.00
4,63,700.00
4,64,150.00
4,65,400.00
4,66,11.00
4,67,0.90
4,68,2.30
4,69,55.00
4,70,3800.00
4,71,0.03
4,72,45.00
4,74,32.00
4,85,725.00
4,86,1305.00
4,87,1885.00
4,88,2755.00
4,89,2320.00
4,90,1232.50
4,91,1232.50
4,92,1377.50
4,93,1377.50
4,94,1885.00
4,96,1595.00
4,105,3700.00
4,113,400.00
4,114,900.00
5,1,2900.00
5,2,145.00
5,3,362.50
5,4,96.67
5,6,300.00
5,7,32.22
5,8,32.22
5,9,32.22
5,26,4.83
5,34,1500.00
5,35,4700.00
5,37,1000.00
5,45,90.00
5,46,1000.00
5,47,8.00
5,48,5.00
5,50,15.00
5,53,1.20
5,54,1.30
5,55,16.00
5,57,1.30
5,59,2.40
5,60,30.00
5,61,5.00
5,62,120.00
5,63,700.00
5,64,150.00
5,65,420.00
5,66,11.00
5,67,0.90
5,68,2.30
5,69,55.00
5,70,3800.00
5,71,0.03
5,72,45.00
5,74,32.00
5,85,725.00
5,86,1305.00
5,87,1885.00
5,88,2755.00
5,89,2320.00
5,90,1232.50
5,91,1232.50
5,92,1377.50
5,93,1377.50
5,94,1885.00
5,96,1595.00
5,105,4700.00
5,113,400.00
5,114,900.00
6,1,2300.00
6,2,115.00
6,3,287.50
6,4,76.67
6,6,300.00
6,7,25.56
6,8,25.56
6,9,25.56
6,26,3.83
6,34,1300.00
6,35,4700.00
6,37,1000.00
6,45,90.00
6,46,1200.00
6,47,8.00
6,48,10.00
6,50,15.00
6,53,1.20
6,54,1.30
6,55,16.00
6,57,1.70
6,59,2.40
6,60,30.00
6,61,5.00
6,62,120.00
6,63,700.00
6,64,150.00
6,65,420.00
6,66,11.00
6,67,0.90
6,68,2.30
6,69,55.00
6,70,3800.00
6,71,0.03
6,72,45.00
6,74,25.00
6,85,575.00
6,86,1035.00
6,87,1495.00
6,88,2185.00
6,89,1840.00
6,90,977.50
6,91,977.50
6,92,1092.50
6,93,1092.50
6,94,1495.00
6,96,1265.00
6,105,3700.00
6,113,400.00
6,114,900.00
7,1,2200.00
7,2,110.00
7,3,275.00
7,4,73.33
7,6,300.00
7,7,24.40
7,8,24.44
7,9,24.44
7,26,3.67
7,34,1500.00
7,35,4500.00
7,37,800.00
7,45,45.00
7,46,1300.00
7,47,8.00
7,48,5.00
7,50,11.00
7,53,0.90
7,54,0.90
7,55,12.00
7,57,1.00
7,59,1.80
7,60,20.00
7,61,4.00
7,62,60.00
7,63,1250.00
7,64,120.00
7,65,240.00
7,66,8.00
7,67,0.70
7,68,1.60
7,69,40.00
7,70,2000.00
7,71,0.02
7,72,34.00
7,74,24.00
7,85,990.00
7,86,3080.00
7,87,3080.00
7,88,4840.00
7,89,4840.00
7,90,1210.00
