"FoodID","FoodOrder","RecipeFoodID","PreparationMethodID","AmountIsAsPurchased","AmountUnitID","AmountValue","RecipeFoodText","RecipeFoodTextNormalized","RecipeFoodTextPhonetic"
25000,1,232,,0,7,414.00,"9 cans (46 fl oz each) apricot nectar, chilled","9 CANS 46 FL OZ EACH APRICOT NECTAR CHILLED","KNS  FL OS EX  APRKT NKTR  XLT"
25000,2,561,,0,11,14.00,"2 cups (14 oz) sugar","2 CUPS 14 OZ SUGAR","KPS  OS  SKR"
25000,3,60,,0,10,3.00,"3 gal buttermilk","3 GAL BUTTERMILK","KL BTRMLK"
25001,1,3151,,0,11,15.00,"1 1/4 qt (15 oz) cocoa","1 1 4 QT 15 OZ COCOA","  KT  OS  KK"
25001,2,561,,0,15,1.71,"1 qt (1 lb 11 1/2 oz) sugar","1 QT 1 LB 11 1 2 OZ SUGAR","KT  LB    OS  SKR"
25001,3,1821,,0,9,3.50,"3 1/2 qt boiling water","3 1 2 QT BOILING WATER","  KT BLNK WTR"
25001,4,65,,0,15,5.25,"2 gal (5 lb 4 oz) instant nonfat dry milk","2 GAL 5 LB 4 OZ INSTANT NONFAT DRY MILK","KL  LB  OS  INSTNT NNFT TR MLK"
25001,5,1821,,0,10,4.50,"4 1/2 gal lukewarm water","4 1 2 GAL LUKEWARM WATER","  KL LKWRM WTR"
25002,1,299,,0,7,184.00,"4 cans (46 fl oz ea) unsweetened pineapple juice","4 CANS 46 FL OZ EA UNSWEETENED PINEAPPLE JUICE","KNS  FL OS E  UNSWTNT PNPL JS"
25002,2,277,,0,7,48.00,"4 cans (12 fl oz ea) frozen orange juice concentrate","4 CANS 12 FL OZ EA FROZEN ORANGE JUICE CONCENTRATE","KNS  FL OS E  FRSN ORNJ JS KNSNTRT"
25002,3,265,,0,7,24.00,"2 cans (12 fl oz ea) frozen lemonade concentrate","2 CANS 12 FL OZ EA FROZEN LEMONADE CONCENTRATE","KNS  FL OS E  FRSN LMNT KNSNTRT"
25002,4,1821,,0,9,2.00,"2 qt cold water","2 QT COLD WATER","KT KLT WTR"
25002,5,695,,0,7,112.00,"4 bottles (28 fl oz ea) ginger ale","4 BOTTLES 28 FL OZ EA GINGER ALE","BTLS  FL OS E  JNJR AL"
25003,1,225,,0,10,5.00,"5 gal apple cider or juice","5 GAL APPLE CIDER OR JUICE","KL APL STR OR JS"
25003,2,807,,0,6,2.00,"1/4 cup whole allspice","1 4 CUP WHOLE ALLSPICE","  KP WL ALSPS"
25003,3,812,,0,6,2.00,"1/4 cup whole cloves","1 4 CUP WHOLE CLOVES","  KP WL KLFS"
25003,4,811,,0,6,2.00,"24 cinnamon sticks","24 CINNAMON STICKS","SNMN STKS"
25003,5,1184,,0,5,1.00,"1 tsp mace","1 TSP MACE","TSP MS"
25004,1,675,,0,7,322.00,"7 cans (46 fl oz ea) tomato juice","7 CANS 46 FL OZ EA TOMATO JUICE","KNS  FL OS E  TMT JS"
25004,2,299,,0,7,322.00,"7 cans (46 fl oz ea) unsweetened pineapple juice","7 CANS 46 FL OZ EA UNSWEETENED PINEAPPLE JUICE","KNS  FL OS E  UNSWTNT PNPL JS"
25004,3,807,,0,6,2.00,"1/4 cup whole allspice","1 4 CUP WHOLE ALLSPICE","  KP WL ALSPS"
25004,4,812,,0,6,2.00,"1/4 cup whole cloves","1 4 CUP WHOLE CLOVES","  KP WL KLFS"
25004,5,811,,0,6,2.00,"24 sticks cinnamon","24 STICKS CINNAMON","STKS SNMN"
25004,6,1184,,0,5,1.00,"1 tsp mace","1 TSP MACE","TSP MS"
25005,1,264,,0,8,3.00,"3 cups frozen lemon juice, thawed","3 CUPS FROZEN LEMON JUICE THAWED","KPS FRSN LMN JS  0WT"
25005,2,548,,0,11,11.50,"1 cup (11 1/2 oz) honey","1 CUP 11 1 2 OZ HONEY","KP    OS  HN"
25005,3,65,,0,15,1.96,"3 qt (1 lb 15 1/2 oz) instant nonfat dry milk","3 QT 1 LB 15 1 2 OZ INSTANT NONFAT DRY MILK","KT  LB    OS  INSTNT NNFT TR MLK"
25005,4,57,,0,10,4.00,"4 gal cold skim milk","4 GAL COLD SKIM MILK","KL KLT SKM MLK"
25005,5,16523,,0,10,2.00,"2 gal lemon sherbet","2 GAL LEMON SHERBET","KL LMN XRBT"
25006,1,1036,,0,11,120.00,"6 pkg (20 oz ea) frozen whole strawberries, unsweetened","6 PKG 20 OZ EA FROZEN WHOLE STRAWBERRIES UNSWEETENED","PKK  OS E  FRSN WL STRBRS  UNSWTNT"
25006,2,4778,,0,10,3.00,"3 gal strawberry ice cream, softened","3 GAL STRAWBERRY ICE CREAM SOFTENED","KL STRBR IS KRM  SFTNT"
25006,3,65,,0,15,1.96,"3 qt (1 lb 15 1/2 oz) instant dry nonfat milk","3 QT 1 LB 15 1 2 OZ INSTANT DRY NONFAT MILK","KT  LB    OS  INSTNT TR NNFT MLK"
25006,4,561,,0,11,14.00,"2 cups (14 oz) sugar","2 CUPS 14 OZ SUGAR","KPS  OS  SKR"
25006,5,57,,0,10,3.00,"3 gal cold skim milk","3 GAL COLD SKIM MILK","KL KLT SKM MLK"
25007,1,561,,0,15,1.71,"1 qt (1 lb 11 1/2 oz) sugar","1 QT 1 LB 11 1 2 OZ SUGAR","KT  LB    OS  SKR"
25007,2,8586,,0,11,10.00,"1 1/2 cups (10 oz) shortening","1 1 2 CUPS 10 OZ SHORTENING","  KPS  OS  XRTNNK"
25007,3,96,1,0,11,10.50,"6 large (10 1/2 oz) eggs","6 LARGE 10 1 2 OZ EGGS","LRJ    OS  EKS"
25007,4,503,1,0,15,2.75,"2 1/2 qt (2 lb 12 oz) flour","2 1 2 QT 2 LB 12 OZ FLOUR","  KT  LB  OS  FLR"
25007,5,681,,0,8,0.25,"1/4 cup baking powder","1 4 CUP BAKING POWDER","  KP BKNK PTR"
25007,6,1611,,0,5,1.00,"1 tsp baking soda","1 TSP BAKING SODA","TSP BKNK ST"
25007,7,822,,0,5,2.00,"2 tsp salt","2 TSP SALT","TSP SLT"
25007,8,57,1,0,8,1.00,"1 cup skim milk","1 CUP SKIM MILK","KP SKM MLK"
25007,9,235,1,0,15,2.50,"1 1/4 qt (2 1/2 lb) bananas, mashed","1 1 4 QT 2 1 2 LB BANANAS MASHED","  KT    LB  BNNS  MXT"
25008,1,503,1,0,15,4.43,"4 qt (4 lb 7 oz) flour","4 QT 4 LB 7 OZ FLOUR","KT  LB  OS  FLR"
25008,2,822,,0,6,1.50,"1 1/2 Tbsp salt","1 1 2 TBSP SALT","  TBSP SLT"
25008,3,681,,0,11,3.00,"1/2 cup (3 oz) baking powder","1 2 CUP 3 OZ BAKING POWDER","  KP  OS  BKNK PTR"
25008,4,8586,,0,15,1.03,"2 1/2 cups (1 lb 1/2 oz) shortening","2 1 2 CUPS 1 LB 1 2 OZ SHORTENING","  KPS  LB   OS  XRTNNK"
25008,5,57,1,0,9,1.50,"1 1/2 qt skim milk","1 1 2 QT SKIM MILK","  KT SKM MLK"
25009,1,609,41,0,15,3.68,"3 1/2 qt (3 lb 11 oz) celery, finely chopped","3 1 2 QT 3 LB 11 OZ CELERY FINELY CHOPPED","  KT  LB  OS  SLR  FNL XPT"
25009,2,633,1,0,15,2.46,"2 1/2 qt (2 lb 7 1/2 oz) frozen chopped onions","2 1 2 QT 2 LB 7 1 2 OZ FROZEN CHOPPED ONIONS","  KT  LB    OS  FRSN XPT ONNS"
25009,3,929,,0,15,1.00,"2 cups (1 lb) margarine","2 CUPS 1 LB MARGARINE","KPS  LB  MRKRN"
25009,4,349,,0,15,7.00,"5 gal (7 lb) soft bread cubes","5 GAL 7 LB SOFT BREAD CUBES","KL  LB  SFT BRT KBS"
25009,5,818,,0,5,1.00,"1 tsp pepper","1 TSP PEPPER","TSP PPR"
25009,6,1190,,0,6,3.00,"3 Tbsp poultry seasoning","3 TBSP POULTRY SEASONING","TBSP PLTR SSNNK"
25009,7,11728,,0,11,0.03,"1 tsp thyme leaves","1 TSP THYME LEAVES","TSP 0M LFS"
25009,8,1344,29,0,9,1.00,"1 qt beef broth","1 QT BEEF BROTH","KT BF BR0"
25010,1,561,,0,15,2.15,"1 1/4 qt (2 lb 2 1/2 oz) sugar","1 1 4 QT 2 LB 2 1 2 OZ SUGAR","  KT  LB    OS  SKR"
25010,2,8586,,0,15,1.25,"3 cups (1 lb 4 oz) shortening","3 CUPS 1 LB 4 OZ SHORTENING","KPS  LB  OS  XRTNNK"
25010,3,96,1,0,15,1.31,"12 large (1 lb 5 oz) eggs","12 LARGE 1 LB 5 OZ EGGS","LRJ  LB  OS  EKS"
25010,4,57,1,0,9,1.75,"1 3/4 qt skim milk","1 3 4 QT SKIM MILK","  KT SKM MLK"
25010,5,503,1,0,15,4.43,"4 qt (4 lb 7 oz) flour","4 QT 4 LB 7 OZ FLOUR","KT  LB  OS  FLR"
25010,6,681,,0,11,3.00,"1/2 cup (3 oz) baking powder","1 2 CUP 3 OZ BAKING POWDER","  KP  OS  BKNK PTR"
25010,7,822,,0,6,2.00,"2 Tbsp salt","2 TBSP SALT","TBSP SLT"
25010,8,559,,0,15,1.87,"1 qt (1 lb 14 oz) packed brown sugar","1 QT 1 LB 14 OZ PACKED BROWN SUGAR","KT  LB  OS  PKT BRN SKR"
25010,9,503,1,0,11,4.50,"1 cup (4 1/2 oz) flour","1 CUP 4 1 2 OZ FLOUR","KP    OS  FLR"
25010,10,929,,0,11,8.00,"1 cup (8 oz) margarine","1 CUP 8 OZ MARGARINE","KP  OS  MRKRN"
25010,11,811,,0,8,0.25,"1/4 cup ground cinnamon","1 4 CUP GROUND CINNAMON","  KP KRNT SNMN"
25011,1,503,1,0,15,2.21,"2 qt (2 lb 3 1/2 oz) flour","2 QT 2 LB 3 1 2 OZ FLOUR","KT  LB    OS  FLR"
25011,2,426,1,0,15,2.68,"2 qt (2 lb 11 oz) cornmeal","2 QT 2 LB 11 OZ CORNMEAL","KT  LB  OS  KRNML"
25011,3,681,,0,11,3.00,"1/2 cup (3 oz) baking powder","1 2 CUP 3 OZ BAKING POWDER","  KP  OS  BKNK PTR"
25011,4,561,,0,11,9.25,"1 1/3 cups (9 1/4 oz) sugar","1 1 3 CUPS 9 1 4 OZ SUGAR","  KPS    OS  SKR"
25011,5,822,,0,5,2.00,"2 tsp salt","2 TSP SALT","TSP SLT"
25011,6,96,1,0,11,14.00,"8 large (14 oz) eggs","8 LARGE 14 OZ EGGS","LRJ  OS  EKS"
25011,7,57,1,0,9,2.00,"2 qt skim milk","2 QT SKIM MILK","KT SKM MLK"
25011,8,120,,0,11,9.75,"1 1/3 cups (9 3/4 oz) oil","1 1 3 CUPS 9 3 4 OZ OIL","  KPS    OS  OL"
25012,1,2877,8,0,15,6.00,"6 lb macaroni or noodles or spaghetti","6 LB MACARONI OR NOODLES OR SPAGHETTI","LB MKRN OR NTLS OR SPFT"
25013,1,57,1,0,9,1.50,"1 1/2 qt heated skim milk","1 1 2 QT HEATED SKIM MILK","  KT HTT SKM MLK"
25013,2,8652,17,0,11,10.50,"1 qt (10 1/2 oz) quick cooking rolled oats","1 QT 10 1 2 OZ QUICK COOKING ROLLED OATS","KT    OS  KK KKNK RLT OTS"
25013,3,8586,,0,11,4.50,"2/3 cup (4 1/2 oz) shortening","2 3 CUP 4 1 2 OZ SHORTENING","  KP    OS  XRTNNK"
