"FoodID","LineNumber","InstructionText"
25000,1,"Mix apricot nectar and sugar with buttermilk.  Chill well before serving.  Serving size: 1 cup."
25001,1,"Mix cocoa and sugar.  Add boiling water.  Boil gently 5 minutes.  Mix dry milk with lukewarm water. Stir into cocoa mixture.  Heat to serving temperature.  Serving size:  about 1 cup."
25002,1,"Mix fruit juices and lemonade with water.  Chill thoroughly.  Add ginger ale just before serving.  Serve over ice cubes or crushed ice.  Serving size:  about 1/2 cup without ice."
25003,1,"Heat cider/juice to simmering.  Tie spices in cloth bag or cheese cloth.  Simmer spices with cider /juice 15 minutes. Remove spices.  Serve hot.  Serving size:  3/4 cup."
25004,1,"Combine juices and heat to simmering.  Tie spices in cloth bag or cheese cloth.  Simmer spices with cider 15 minutes.  Remove spices.  Serve hot.  Serving size: 3/4 cup."
25005,1,"Beat sherbet and lemon juice together.  Add honey; mix.  Mix dry milk with skim milk.  Gradually beat milk mixture into sherbet mixture.  Serve immediately in chilled glasses.  Serving size: 1 cup."
25006,1,"Partially thaw strawberries.  Beat strawberries in mixer until well broken up.  Add ice cream.  Beat until well mixed.  In separate bowl, mix dry milk, sugar, and cold skim milk.  Stir milk mixture slowly into ice cream mixture.  Mix well.  Pour into"
25006,2,"chilled glasses.  Serve immediately.  Serving size:  1 cup."
25007,1,"For 100 servings:  beat sugar and shortening until creamy; beat in eggs.  Mix flour, baking powder, baking soda, and salt.  Add dry ingredients, milk, and bananas to creamy mixture; mix only until smooth.  Pour batter into 5 greased loaf pans (about"
25007,2,"9''x5'') about 3 1/2 cups or 1 pound 11 ounces per pan.  Bake at 350 degrees F 40 minutes or until batter no longer clings to toothpick inserted in center.  Cool thoroughly.  Slice each loaf into 20 slices.  Serving size: 1 slice."
25008,1,"Mix flour, baking powder, and salt.  Mix in shortening only until mixture is crumbly.  Add enough milk to flour mixture to make a soft dough.  Turn out on lightly floured surface.  Divide dough in half and knead each half lightly about 1 minute.  Roll"
25008,2,"dough out to 1/2 inch thickness.  Cut with a floured 2-inch cutter and place on baking sheets.  Bake at 425 degrees F for 20 minutes or until lightly browned.  Serving size:  1 biscuit.

"
25009,1,"For 100 servings:  cook celery and onions in margarine until tender; remove from heat.  Stir in bread cubes, seasonings, and broth; toss to mix.  Place in 2 greased baking pans (about 12 by 20 inches), about 1 gallon 1 1/2 quarts or 7 pounds per pan."
25009,2," Cover pans and bake for 30 minutes at 350 degrees F.  Remove cover and bake 30 minutes more or until brown.  Serving size:  1/3 cup."
25010,1,"For 100 servings:  beat sugar, fat, and eggs until creamy.  Mix in milk.  Mix 4 lb 7 oz flour, baking powder and salt.  Add to creamy mixture.  Stir until smooth.  Pour half the batter into 4 greased baking pans (about 12 by 20 inches), about 3 1/2 cups"
25010,2,"or 1 pound 10 ounces per pan.  Mix brown sugar,4 1/2 oz  flour, margarine, and cinnamon.  Sprinkle half the brown sugar mixture over batter in pans, about 3/4 cup or 5 1/4 ounces per pan. Add remaining batter, about 3 1/2 cups or 1 pound 10 ounces per"
25010,3,"pan.  Sprinkle with remaining brown sugar mixture, about 3/4 cup or 5 1/4 ounces per pan.  Bake at 375 degrees F for 20 minutes or until cake springs back when touched lightly.  Serve warm.  Serving size:  1 piece, about 2''x3-3/4''."
25011,1,"For 100 servings:  mix flour, cornmeal, baking powder, sugar, and salt thoroughly.  Mix eggs, milk, and oil.  Add to dry ingredients, stirring only until dry ingredients are moistened; batter will be lumpy.  Pour into 2 greased baking pans (about 12 by 20"
25011,2,"inches), about 2 1/2 quarts or 5 pounds 11 ounces batter per pan.  Bake at 425 degrees F for 25 to 30 minutes or until lightly browned.  Serving size:  1 piece, about 2''x2''."
25012,1,"Add 1/3 cup salt to 6 gallons of boiling water.  Slowly stir in pasta.  Cook until tender-firm, about 8 minutes for macaroni, 6 minutes for noodles, and 10 minutes for spaghetti.  Drain.  Serving size:   about 1/2 cup."
25013,1,"For 100 servings:  pour milk over rolled oats.  Let stand 5 minutes.  Mix in shortening and molasses.  Mix 1 lb 2 oz  flour with salt and yeast.  Add rolled oats mixture and eggs to flour mixture.  Beat well.  Add 1lb 2 oz more flour.  Beat well.  Mix and"
25013,2,"knead in remaining flour.  Place dough in lightly greased bowl and turn once to grease upper side of dough.  Cover and let rise in a warm place until double in size.  Punch down dough to remove air bubbles.  Shape into rolls (about 1-1/2 oz each).  Place"
25013,3,"on sheet pans.  Let rolls rise until double in size.  Bake at 400 degrees F for 16 to 18 minutes or until lightly browned.  Serving size:  1 roll."
25014,1,"For 100 servings:  mix flour, baking powder, sugar, and salt thoroughly.  Mix eggs, oil, and milk.  Add to flour mixture, stirring until dry ingredients are moistened; batter will be lumpy.  Using a No. 24 scoop (2-2/3 T), portion into greased muffin"
25014,2,"tins.  Bake at 400 degrees F for 20 to 25 minutes or lightly browned.  Serving size:  1 muffin."
25015,1,"For 100 servings:  mix flour, baking powder, sugar, and salt thoroughly.  Mix eggs, oil, and milk.  Add to flour mixture, stirring until dry ingredients are moistened; batter will be lumpy.  Gently fold blueberries into the batter.  Using a No. 24 scoop"
25015,2,"(2 2/3 tablespoons) portion into greased muffin tins.  Bake at 400 degrees F for 20 to 25 minutes or until lightly browned.  Serving size:  1 muffin."
25016,1,"For 100 servings:  place rice in 2 baking pans (about 12 by 20 inches), 3 pounds or about 1 quart 3 1/3 cups per pan.  Add salt to boiling water; pour over rice, 3 quarts per pan.  Cover pans tightly.  Bake at 350 degrees F or steam at 5 pounds pressure"
25016,2,"for 25 minutes for white rice and 50 minutes for brown rice.  Remove from oven or steamer and let stand covered 5 minutes.  Serving size:  about 1/2 cup."
25017,1,"For 100 servings:  drain and chop mushrooms; save liquid.  Cook mushrooms, almonds, and onions in margarine until lightly browned.  Add cheese, rice, and parsley.  Mix gently.  Place mixture in 4 baking pans (about 12 by 20 inches), about 2 quarts or 2"
25017,2,"pounds 8 ounces per pan.  Boil 1 3/4 gal mushroom liquid and water.   Stir pepper, basil, and broth into boiling liquid.  Return to boiling.  Pour liquid over rice mixture, about 2 quarts per pan.  Cover; bake at 350 degrees F for 35 minutes.  Serving"
25017,3,"size:  about 1/2 cup."
25018,1,"For 100 servings:  stir in cornmeal and salt into milk.  Cook over low heat, stirring constantly, until thickened to consistency of mush.  Remove from heat.  Stir in margarine.  Cool slightly to about 105 to 110 degrees F.  Stir egg yolks into cornmeal"
25018,2,"mixture.  Mix well.  Beat egg whites until stiff but not dry.  Fold into cornmeal-egg yolk mixture.  Pour into 2 greased baking pans (about 12 by 20 inches), about 1 gallon 1 1/4 quarts or 9 pounds per pan.  Bake at 375 degrees F for 45 minutes or until"
25018,3,"set.  Serving size:  1/3 cup."
25019,1,"For 100 servings:  mix 2 quarts  flour with sugar, yeast, and salt.  Heat milk and oil until warm, stir into flour mixture.  Add eggs; beat well.  Mix in 2 quarts flour, making a soft dough that leaves sides of bowl.  Knead until dough is smooth and"
25019,2,"elastic.  (Kneading may be done in mixing machine.) Place dough in lightly greased bowl and turn over once to grease upper side of dough.  Cover and let rise in warm place until double in size, about 1-1/2 hours.  Punch down dough to remove air bubbles."
25019,3," Shape into rolls about 1-1/4 oz each.  Place rolls on sheet pans.  Let rise until double in size, about 1 hour.  Bake at 400 degrees F for 15 minutes or until lightly browned.  Serving size:  1 roll."
25020,1,"For 100 servings:  mix flours together, and then mix 2 quarts flour with sugar, yeast, and salt.  Heat milk and oil until warm.  Stir into flour mixture.  Add eggs; beat well.  Mix in remaining flour, making a soft dough that leaves the sides of the bowl."
25020,2," Knead until dough is smooth and elastic.  (Kneading may be done in mixing machine.)  Place dough in lightly greased bowl and turn over once to grease upper side of dough.  Cover and let rise in warm place until double in size, about 1-1/2 hours.  Punch"
25020,3,"down dough to remove air bubbles.  Shape into rolls about 1-1/4 oz each.  Place rolls on sheet pans.  Let rise until double in size, about 1 hour.  Bake at 400 degrees F for 15 minutes, or until lightly browned.  Serving size:  1 roll."
25021,1,"For 100 servings:  for pastry, mix flour and salt.  Mix in margarine until size of small peas.  Add 1 cup cold water and mix just until dry ingredients are moistened.  Roll out 4 rectangles (about 12''x20'') on a lightly floured surface, using about 1 lb"
25021,2,"dough for each crust.  For filling, drain apples; save liquid. Place apples in 4 pans (12''x20''), about 3 quarts or 5 lb 12 ounces per pan.  Heat 2 quarts apple liquid and water to boiling.  Add sugar and spices.  Mix cornstarch with remaining liquid."
25021,3," Gradually stir into boiling liquid.  Cook, stirring constantly, until thickened.  Pour thickened mixture over apples, about 4-3/4 c or 2 lb 10 ounces per pan.  Cover apples with pastry.  Cut slits in pastry.  Bake at 425 degrees F for 40 minutes or until"
25021,4,"pastry is brown and filling is bubbly.  Serving size:  1 piece, about 2''x3-3/4''."
25022,1,"Mix sugar, salt, and eggs.  Stir in milk and vanilla.  Pour into 4 baking pans (12''x20''), about 3-1/4 qt or 7 lb per pan.  Sprinkle with nutmeg.  Bake at 350 degrees F for 20 to 25 minutes or until set.  Serving size:  1/2 cup."
25023,1,"Mix tapioca, sugar, salt, and cloves.  Stir in juices.  Cook, stirring constantly, until mixture comes to a boil.  Remove from heat.  Cool, stirring occasionally.  Fold pears into tapioca mixture.  Chill thoroughly.  Serving size:  1/2 cup."
25024,1,"For 100 servings:  add sugar and salt to 1-1/2 gal water.  Heat to simmering.  Beat eggs; mix in 3 qt water.  Stir mixture slowly into cornstarch.  Mix well.  Add egg-cornstarch mixture slowly to heated mixture, stirring constantly.  Continue to stir"
25024,2,"until mixture reaches boiling.  Remove from heat.  Stir in juice, rind, and margarine.  Cool slightly, stirring occasionally.  Chill thoroughly.   Serving size:  1/2 cup."
25025,1,"Cream shortening and sugar until light and fluffy.  Beat in molasses and  eggs.  Mix flour, salt, soda, and ginger.  Add flour mixture and skim milk alternately to shortening mixture.  Stir in oats and dates.  Using a No. 60 scoop (3-1/4 t), drop dough"
25025,2,"onto greased baking sheets.  Bake at 375 degrees F for 15 minutes or until done.  Serving size:  1 cookie."
25026,1,"For 100 servings:  place peaches in 4 pans (12''x20''), about 3 qt or 6 lb 4 oz per pan.  Mix sugar, flour, oats, spices, and fat until crumbly.  Spread evenly over peaches, about 1-1/4 qt or 1 lb 14 oz per pan.  Bake at 375 degrees F for 30 minutes or"
25026,2,"until topping is lightly browned.  Serving size:  1/2 cup."
25027,1,"For 100 servings:  mix crumbs and allspice.  Stir in margarine; mix well.  Press crumb mixture in bottom of 2 baking pans (12''x20''), about 1 qt or 1 lb per pan.  Bake at 350 degrees F for 10 minutes or until crumbs are lightly browned.  Drain peaches;"
25027,2,"save 1 1/2 quarts juice.  Coarsely chop peaches. Mix gelatin and sugar.  Add peach liquid.  Heat, stirring constantly, until gelatin is dissolved.  Stir in orange juice concentrate, almond extract, and vanilla.  Chill until mixture is consistency of egg"
25027,3,"whites.  Whip until light and fluffy.  Stir in yogurt and peaches.  Pour filling into baked crust, about 1-1/4 gal or 7 lb per pan.  Chill until firm.  Serving size:  1 piece, about 2''x2''."
25028,1,"For 100 servings:  for crust, mix flour and salt.  Mix in margarine until size of small peas.  Add water and mix just until dry ingredients are moistened.  Roll out 12 crusts on lightly floured surface, using about 8 oz dough for each crust.  Line 12 pie"
25028,2,"pans, about 9 inches in diameter, with pastry.  For filling, add pumpkin to milk; heat until bubbles appear.  Mix sugars, flour, salt, and spices.  Add eggs; mix well.  Stir egg mixture into hot pumpkin mixture.  Fill pie crusts with mixture using 3-3/4 c"
25028,3,"or 2 lb per pan.  Bake at 375 degrees F for 40 minutes or until filling is set.  Serving size:  1/8 pie.  Makes 12 pies.  Serving size:  1/8 pie."
25029,1,"For 100 servings:  put bread in 2 greased baking pans (12''x20''), about 1 gal or 1 lb 6-1/2 oz per pan.  Sprinkle raisins over bread, about 2 c or 10-1/4 oz per pan.  Mix eggs, sugar, vanilla, salt, and spices.  Stir in milk.  Pour milk-egg mixture over"
25029,2,"bread and raisins.  Bake at 325 degrees F for 45 minutes or until set.  Serving size:  1 piece, 2''x2''."
25030,1,"For 100 servings:  beat margarine until light and fluffy.  Add salt.  Add sugar and milk alternately.  Beat well after each addition.  Add vanilla and beat until light and fluffy.  Spread over cake.  One quart of frosting will frost 1 sheet cake, about"
25030,2,"18''x26'' or 2 cakes, 12''x20''.  Serving size:  about 1-1/3 T."
25031,1,"For 100 servings:  mix sugar and salt with 2-1/2 gal milk.  Heat to simmering.  Beat eggs; mix with 2 qt milk and vanilla.  Stir slowly into cornstarch.  Mix until smooth.  Stir egg mixture slowly into hot milk mixture.  Cook, stirring constantly, until"
25031,2,"mixture returns to simmering.  Remove from heat.  Cool quickly, stirring occasionally.  Chill.  Serving size:  about 1/2 cup."
25032,1,"For 100 servings:  mix sugar, salt, and chocolate with 2-1/2 gal milk.  Heat to simmering.  Beat eggs; mix with 2 qt milk and vanilla.  Stir slowly into cornstarch. Mix until smooth.  Stir egg mixture slowly into hot milk mixture.  Cook, stirring"
25032,2,"constantly, until mixture returns to simmering.  Remove from heat.  Cool quickly, stirring occasionally.  Chill.  Serving size:  about 1/2 cup."
25033,1,"For 100 servings:  mix shortening and sugar until light and fluffy.  Add eggs and vanilla; beat until light and creamy.  Mix flour, baking powder, and salt.  Add flour mixture alternately with milk to creamy mixture.  Beat well after each addition.  Pour"
