"FoodID","LineNumber","NotesText"
25000,1,"1 cup servings"
25001,1,"about 1 cup servings"
25002,1,"about 1/2 cup servings without ice"
25003,1,"3/4 cup servings"
25005,1,"1 cup servings"
25006,1,"1 cup servings"
25007,1,"1 slice (1/20 of loaf) servings"
25008,1,"1 biscuit servings"
25009,1,"1/3 cup servings"
25010,1,"1 piece (about 2 by 3 3/4 inches) servings"
25011,1,"1 piece (about 2 by 2 inches) servings"
25012,1,"about 1/2 cup servings"
25013,1,"1 roll (approx. 1 1/2 ounces)"
25014,1,"1 muffin servings"
25015,1,"1 muffin servings"
25016,1,"about 1/2 cup servings"
25017,1,"about 1/2 cup servings"
25018,1,"1/3 cup servings"
25019,1,"1 roll servings (approx. 1 1/4 oz ea)"
25020,1,"1 roll servings (approx. 1 1/4 oz)"
25021,1,"1 piece (about 2 by 3 3/4 inches) servings"
25022,1,"1/2 cup servings"
25023,1,"1/2 cup servings"
25024,1,"1/2 cup servings"
25025,1,"1 cookie servings"
25026,1,"1/2 cup servings"
25027,1,"1 piece (2 by 2 inches) servings"
25028,1,"1 slice (1/8 pie) servings"
25029,1,"1piece (2 by 2 inches) servings"
25030,1,"about 1 1/3 tablespoon servings"
25031,1,"about 1/2 cup servings"
25032,1,"about 1/2 cup servings"
25033,1,"1 piece (about 2 by 3 3/4 inches) servings"
25034,1,"1 piece (about 2 by 3 3/4 inches) servings"
25035,1,"1/4 cup or 1 egg servings"
25036,1,"3 ounce servings"
25037,1,"3 ounce servings"
25038,1,"3 ounce servings"
25039,1,"3 ounce servings"
25040,1,"3 ounce servings"
25041,1,"3 ounce servings"
25042,1,"3 ounce servings"
25043,1,"3 ounce servings"
25044,1,"3 ounce servings"
25045,1,"3 ounce servings"
25046,1,"1 egg servings"
25047,1,"can roast up to 4 1/2 hours at 325 degrees F
3 ounce servings"
25048,1,"can roast up to 4 hours at 325 degrees F
3 ounce servings"
25049,1,"can roast up to 2 1/2 hours at 325 degrees F
3 ounce servings"
